Reference, Value, Footprint, Datasheet, MFN, MFP, S1PN, S1PL, S2PN, S2PL, Description, Source, Critical, Characteristics
"R7","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R1","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R8","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R2","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R21","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R23","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R20","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R22","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-071KL","311-1.0KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 5% 1/8W 0805","ANY","N",""
"R6","10k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-0710KL","311-10KARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188","Second Source Part Number","Second Source Part Link","RES SMD 10K OHM 5% 1/8W 0805","ANY","N",""
"R19","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R18","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R15","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R14","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R17","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R16","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R9","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R10","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R28","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R27","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R26","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R25","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R24","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R3","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R4","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"R5","180","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805JR-07180RL","311-180ARCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805JR-07180RL/311-180ARCT-ND/731210","Second Source Part Number","Second Source Part Link","RES SMD 180 OHM 5% 1/8W 0805","ANY","N",""
"J4","DEBUG","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","DNP","DNP","DNP","DNP","Second Source Part Number","Second Source Part Link","","DNP","DNP",""
"U2","BTS6143","TO_SOT_Packages_SMD:TO-252-5_TabPin3","https://www.infineon.com/dgdl/Infineon-BTS6143D-DS-v01_00-EN.pdf?fileId=5546d4625a888733015aa3da10821022","Infinieon","BTS6143D","BTS6143DINCT-ND","https://www.digikey.com/product-detail/en/infineon-technologies/BTS6143D/BTS6143DINCT-ND/1557906","Second Source Part Number","Second Source Part Link","IC SWITCH PWR HISIDE DPAK-5","ANY","N",""
"R11","1","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","Yaego","RT1206DRD071RL","311-2927-1-ND","https://www.digikey.com/product-detail/en/yageo/RT1206DRD071RL/311-2927-1-ND/6129346","Second Source Part Number","Second Source Part Link","RES SMD 1 OHM 0.5% 1/4W 1206","SPEC","Y","0.5%"
"U3","LM358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm358.pdf","TI","LM358DR","296-1014-1-ND","https://www.digikey.com/product-detail/en/texas-instruments/LM358DR/296-1014-1-ND/404838","Second Source Part Number","Second Source Part Link","IC OPAMP GP 700KHZ 8SOIC","ANY","N",""
"R13","4.99M","Resistors_SMD:R_0805_HandSoldering","","Yaego","RMCF0805FT4M99","RMCF0805FT4M99CT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT4M99/RMCF0805FT4M99CT-ND/2418420","Second Source Part Number","Second Source Part Link","RES SMD 4.99M OHM 1% 1/8W 0805","ANY","N","1%"
"R12","1k","Resistors_SMD:R_0805_HandSoldering","","Yaego","RC0805FR-071KL","311-1.00KCRCT-ND","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391","Second Source Part Number","Second Source Part Link","RES SMD 1K OHM 1% 1/8W 0805","ANY","N","1%"
"C6","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","AVX","08055C104KAT2A","478-1395-1-ND","https://www.digikey.com/product-detail/en/avx-corporation/08055C104KAT2A/478-1395-1-ND/564427","Second Source Part Number","Second Source Part Link","CAP CER 0.1UF 50V X7R 0805","ANY","Y",""
"C2","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","AVX","08055C104KAT2A","478-1395-1-ND","https://www.digikey.com/product-detail/en/avx-corporation/08055C104KAT2A/478-1395-1-ND/564427","Second Source Part Number","Second Source Part Link","CAP CER 0.1UF 50V X7R 0805","ANY","Y",""
"C4","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","AVX","08055C104KAT2A","478-1395-1-ND","https://www.digikey.com/product-detail/en/avx-corporation/08055C104KAT2A/478-1395-1-ND/564427","Second Source Part Number","Second Source Part Link","CAP CER 0.1UF 50V X7R 0805","ANY","Y",""
